기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,4,5500,22000
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,1,5500,5500
2026-07-06,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),3,5500,16500
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),3,5500,16500
2026-07-17,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),2,5500,11000
2026-07-18,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),2,5500,11000
2026-07-19,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),4,5500,22000
2026-07-20,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),3,5500,16500
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),2,5500,11000
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),모닝롤,102683,모닝롤,1,3800,3800
2026-07-30,밀도,밀도 성수점,폐기,유통기한초과(폐기),모닝롤,102683,모닝롤,2,3800,7600
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,5,3800,19000
2026-07-14,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,1,3800,3800
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,1,3800,3800
2026-07-28,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,4,3800,15200
2026-07-08,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,1,4200,4200
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,4,4200,16800
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,1,4200,4200
2026-07-24,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,1,4200,4200
2026-07-28,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,4,4200,16800
2026-07-29,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,1,4200,4200
